price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
349900,2.0,2.0,0.0,890.0,11.0,1.15,890.0,0.0,1.0,91,83,54,0,1,0
509999,4.0,3.0,1.0,2157.0,7.0,16.92,3950.0,1.0,1.0,37,66,41,1,0,0
349900,3.0,2.0,1.0,1185.0,3.0,9.32,3412.0,1.0,0.0,64,76,64,1,0,0
505000,3.0,2.0,1.0,2166.0,62.0,16.24,3810.0,1.0,1.0,48,79,47,1,0,0
295000,2.0,1.0,0.0,500.0,29.0,10.02,3068.0,1.0,1.0,37,68,63,1,0,0
285000,2.0,2.0,0.0,845.0,26.0,0.67,845.0,0.0,0.0,95,97,75,0,1,0
275000,1.0,1.0,0.0,520.0,6.0,6.01,520.0,0.0,1.0,64,91,67,0,1,0
315000,2.0,1.0,0.0,482.0,41.0,6.01,482.0,0.0,0.0,64,91,67,0,1,0
349900,2.0,2.0,0.0,739.0,42.0,6.03,739.0,0.0,1.0,64,91,67,0,1,0
335000,2.0,2.0,0.0,803.0,39.0,1.18,803.0,0.0,0.0,92,93,76,0,1,0
234900,2.0,1.0,0.0,708.0,12.0,12.69,708.0,0.0,0.0,33,67,60,0,1,0
259888,1.0,1.0,0.0,533.0,24.0,1.1,533.0,0.0,0.0,91,92,79,0,1,0
275000,1.0,1.0,0.0,562.0,65.0,1.1,562.0,0.0,0.0,91,92,79,0,1,0
310000,1.0,1.0,0.0,566.0,34.0,1.1,566.0,0.0,0.0,91,92,79,0,1,0
353900,1.0,1.0,0.0,560.0,22.0,1.76,560.0,0.0,1.0,86,99,67,0,1,0
338000,1.0,1.0,0.0,566.0,25.0,1.82,566.0,0.0,0.0,86,99,67,0,1,0
249900,1.0,1.0,0.0,370.0,9.0,0.75,370.0,0.0,1.0,95,96,74,0,1,0
373500,2.0,2.0,0.0,796.0,16.0,0.76,796.0,0.0,1.0,95,96,74,0,1,0
379900,2.0,1.0,0.0,701.0,18.0,0.75,701.0,0.0,1.0,95,96,74,0,1,0
268800,1.0,1.0,0.0,488.0,18.0,0.75,488.0,0.0,1.0,95,96,74,0,1,0
629000,2.0,2.0,1.0,2060.0,37.0,0.86,2060.0,0.0,0.0,87,96,78,0,1,0
249900,2.0,1.0,1.0,1004.0,40.0,16.27,1004.0,0.0,1.0,9,36,31,0,0,1
299000,1.0,1.0,0.0,648.0,40.0,0.89,648.0,0.0,0.0,90,96,75,0,1,0
410500,2.0,2.0,0.0,957.0,24.0,0.89,957.0,0.0,1.0,90,96,75,0,1,0
324900,1.0,1.0,0.0,594.0,48.0,0.89,594.0,0.0,0.0,90,96,75,0,1,0
194900,2.0,2.0,0.0,827.0,62.0,14.93,827.0,0.0,0.0,0,26,18,0,1,0
207000,2.0,2.0,0.0,862.0,38.0,14.93,862.0,0.0,1.0,0,26,18,0,1,0
212900,2.0,2.0,0.0,824.0,0.0,14.93,824.0,0.0,0.0,0,26,18,0,1,0
368130,2.0,2.0,0.0,810.0,67.0,1.38,810.0,0.0,0.0,82,90,78,0,1,0
361935,2.0,2.0,0.0,730.0,5.0,1.38,730.0,0.0,0.0,82,90,78,0,1,0
392385,2.0,2.0,0.0,749.0,21.0,1.38,749.0,0.0,0.0,82,90,78,0,1,0
269900,2.0,2.0,0.0,968.0,14.0,7.85,968.0,0.0,1.0,57,62,62,0,1,0
285000,2.0,2.0,0.0,1037.0,3.0,7.85,1037.0,0.0,1.0,57,62,62,0,1,0
699900,3.0,3.0,1.0,2207.0,33.0,13.22,5909.0,1.0,1.0,10,67,23,1,0,0
296800,1.0,1.0,0.0,632.0,8.0,0.44,632.0,0.0,1.0,95,95,79,0,1,0
849900,2.0,2.0,0.0,1457.0,34.0,0.42,1457.0,0.0,0.0,95,95,79,0,1,0
975000,3.0,3.0,1.0,1887.0,42.0,0.43,1887.0,0.0,1.0,95,95,79,0,1,0
515000,3.0,2.0,0.0,1308.0,6.0,0.43,1308.0,0.0,1.0,95,95,79,0,1,0
255000,2.0,2.0,0.0,838.0,13.0,16.07,838.0,0.0,0.0,0,38,0,0,1,0
279000,2.0,2.0,0.0,851.0,43.0,16.12,851.0,0.0,1.0,0,38,0,0,1,0
264900,2.0,2.0,0.0,924.0,53.0,9.33,924.0,0.0,1.0,34,59,33,0,1,0
409500,4.0,2.0,0.0,1052.0,12.0,14.02,3617.0,1.0,1.0,23,60,34,1,0,0
334900,5.0,2.0,0.0,1069.0,39.0,6.96,4112.0,1.0,0.0,26,69,43,1,0,0
389900,5.0,3.0,0.0,1060.0,44.0,11.73,2756.0,1.0,1.0,28,68,61,1,0,0
729900,4.0,3.0,1.0,1899.0,7.0,4.9,1571.0,1.0,1.0,67,88,55,1,0,0
