latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage,mls
,,1962.0,58.0,,2248.11,na,0.0,0.0,A1046327
,,1981.0,39.0,,2114.5,5996,1.0,1.0,A1044910
,,,,,2075.09,4123,1.0,1.0,A1046195
,,,,,2462.59,5812,1.0,1.0,A1041848
,,1978.0,42.0,,,,0.0,0.0,
,,,,,3848.47,5500,1.0,1.0,A1044461
,,,,,2265.84,na,0.0,1.0,A1045048
,,1996.0,24.0,,,,0.0,0.0,
,,2013.0,7.0,,,,0.0,0.0,
,,1997.0,23.0,,,,0.0,0.0,
,,2005.0,15.0,,994.55,,0.0,0.0,A1046140
,,1976.0,44.0,,551.33,,0.0,0.0,A1046187
,,1981.0,39.0,,859.64,,0.0,1.0,A1046174
,,2008.0,12.0,,,,0.0,0.0,
,,2008.0,12.0,,,,0.0,0.0,
,,2016.0,4.0,,3242.66,5856,1.0,1.0,A1046159
,,1958.0,62.0,,3537.13,5264,1.0,1.0,A1045696
,,1992.0,28.0,,1491.39,na,0.0,0.0,A1045197
,,1965.0,55.0,,,,0.0,0.0,
,,,,,2853.49,na,1.0,0.0,A1046157
,,,,,1167.08,,0.0,0.0,A1046167
,,1980.0,40.0,,3978.19,7416,1.0,1.0,A1045829
,,2009.0,11.0,,864.39,,0.0,1.0,A1041352
,,,,,2462.59,5812,1.0,1.0,A1041848
,,,,,,,0.0,0.0,
,,,,,3848.47,5500,1.0,1.0,A1044461
,,,,,2265.84,na,0.0,1.0,A1045048
,,,,,,,0.0,0.0,
,,,,,,,0.0,0.0,
,,2008.0,12.0,,,,0.0,0.0,
,,1976.0,44.0,,994.55,,0.0,0.0,A1046140
,,2009.0,11.0,,551.33,,0.0,0.0,A1046187
,,,,,859.64,,0.0,1.0,A1046174
,,,,,,,0.0,0.0,
,,,,,,,0.0,0.0,
,,,,,3242.66,5856,1.0,1.0,A1046159
,,2009.0,11.0,,3537.13,5264,1.0,1.0,A1045696
,,2018.0,2.0,,1491.39,na,0.0,0.0,A1045197
,,1995.0,25.0,,,,0.0,0.0,
,,,,,2853.49,na,1.0,0.0,A1046157
,,,,,1167.08,,0.0,0.0,A1046167
,,1968.0,52.0,,3978.19,7416,1.0,1.0,A1045829
,,2017.0,3.0,,864.39,,0.0,1.0,A1041352
,,1974.0,46.0,,2462.59,5812,1.0,1.0,A1041848
,,2002.0,18.0,,,,0.0,0.0,
,,1965.0,55.0,,3848.47,5500,1.0,1.0,A1044461
,,,,,2265.84,na,0.0,1.0,A1045048
,,,,,,,0.0,0.0,
,,1980.0,40.0,,,,0.0,0.0,
,,2009.0,11.0,,,,0.0,0.0,
,,,,,994.55,,0.0,0.0,A1046140
,,,,,551.33,,0.0,0.0,A1046187
,,,,,859.64,,0.0,1.0,A1046174
,,,,,,,0.0,0.0,
,,,,,,,0.0,0.0,
,,,,,3242.66,5856,1.0,1.0,A1046159
,,2008.0,12.0,,3537.13,5264,1.0,1.0,A1045696
,,1976.0,44.0,,1491.39,na,0.0,0.0,A1045197
,,2009.0,11.0,,,,0.0,0.0,
,,,,,2853.49,na,1.0,0.0,A1046157
,,,,,1167.08,,0.0,0.0,A1046167
,,,,,3978.19,7416,1.0,1.0,A1045829
,,,,,864.39,,0.0,1.0,A1041352
,,2009.0,11.0,,3458.87,4133,1.0,1.0,A1044815
,,2018.0,2.0,,3134.99,3950,1.0,1.0,A1045983
,,1995.0,25.0,,907.63,na,0.0,0.0,A1046001
50.966885,-114.056831,,,8.77,2550.8,4994,1.0,1.0,A1045467
,,,,,3718.31,5931,1.0,1.0,A1045937
,,1968.0,52.0,,2161.63,2680,1.0,1.0,A1045770
,,2017.0,3.0,,2485.94,5457,1.0,1.0,A1045840
,,1974.0,46.0,,950.87,,0.0,1.0,A1045956
51.09381,-114.155685,2002.0,18.0,7.88,1383.29,,0.0,0.0,A1045891
,,1965.0,55.0,,1945.42,6469,1.0,1.0,A1045953
,,,,,1231.94,3520,1.0,1.0,A1045892
,,,,,3243.09,3122,1.0,1.0,A1045039
,,1980.0,40.0,,1642.73,na,0.0,1.0,A1045963
,,2009.0,11.0,,1461.55,2960,1.0,0.0,A1045969
,,,,,2248.11,7492,1.0,1.0,A1045922
,,,,,1599.49,3412,1.0,0.0,A1045779
,,,,,3718.31,9592,1.0,1.0,A1044569
,,,,,2412.86,6512,1.0,1.0,A1045772
,,,,,570.78,,0.0,0.0,A1045934
50.885633,-113.964017,,,19.32,2031.91,4263,1.0,1.0,A1045900
,,2008.0,12.0,,3458.87,4133,1.0,1.0,A1044815
,,1976.0,44.0,,3134.99,3950,1.0,1.0,A1045983
,,2009.0,11.0,,907.63,na,0.0,0.0,A1046001
50.966885,-114.056831,,,8.77,2550.8,4994,1.0,1.0,A1045467
,,,,,3718.31,5931,1.0,1.0,A1045937
,,,,,2161.63,2680,1.0,1.0,A1045770
,,,,,2485.94,5457,1.0,1.0,A1045840
,,2009.0,11.0,,950.87,,0.0,1.0,A1045956
51.09381,-114.155685,2018.0,2.0,7.88,1383.29,,0.0,0.0,A1045891
,,1995.0,25.0,,1945.42,6469,1.0,1.0,A1045953
,,,,,1231.94,3520,1.0,1.0,A1045892
,,,,,3243.09,3122,1.0,1.0,A1045039
,,1968.0,52.0,,1642.73,na,0.0,1.0,A1045963
,,2017.0,3.0,,1461.55,2960,1.0,0.0,A1045969
,,1974.0,46.0,,2248.11,7492,1.0,1.0,A1045922
,,2002.0,18.0,,1599.49,3412,1.0,0.0,A1045779
,,2019.0,1.0,,3718.31,9592,1.0,1.0,A1044569
,,2005.0,15.0,,2412.86,6512,1.0,1.0,A1045772
,,1982.0,38.0,,570.78,,0.0,0.0,A1045934
50.885633,-113.964017,1961.0,59.0,19.32,2031.91,4263,1.0,1.0,A1045900
,,1995.0,25.0,,3458.87,4133,1.0,1.0,A1044815
,,2020.0,0.0,,3134.99,3950,1.0,1.0,A1045983
,,1997.0,23.0,,907.63,na,0.0,0.0,A1046001
50.966885,-114.056831,1981.0,39.0,8.77,2550.8,4994,1.0,1.0,A1045467
,,2017.0,3.0,,3718.31,5931,1.0,1.0,A1045937
,,1976.0,44.0,,2161.63,2680,1.0,1.0,A1045770
,,1969.0,51.0,,2485.94,5457,1.0,1.0,A1045840
,,2017.0,3.0,,950.87,,0.0,1.0,A1045956
51.09381,-114.155685,2020.0,0.0,7.88,1383.29,,0.0,0.0,A1045891
,,1997.0,23.0,,1945.42,6469,1.0,1.0,A1045953
,,1983.0,37.0,,1231.94,3520,1.0,1.0,A1045892
,,2014.0,6.0,,3243.09,3122,1.0,1.0,A1045039
,,2011.0,9.0,,1642.73,na,0.0,1.0,A1045963
,,1998.0,22.0,,1461.55,2960,1.0,0.0,A1045969
,,1982.0,38.0,,2248.11,7492,1.0,1.0,A1045922
,,2006.0,14.0,,1599.49,3412,1.0,0.0,A1045779
,,2019.0,1.0,,3718.31,9592,1.0,1.0,A1044569
,,2005.0,15.0,,2412.86,6512,1.0,1.0,A1045772
,,1982.0,38.0,,570.78,,0.0,0.0,A1045934
50.885633,-113.964017,1961.0,59.0,19.32,2031.91,4263,1.0,1.0,A1045900
,,1995.0,25.0,,951.31,na,0.0,0.0,A1045875
,,2020.0,0.0,,2244.22,5855,1.0,1.0,A1045189
,,1997.0,23.0,,1123.84,,0.0,1.0,A1045702
,,1981.0,39.0,,3433.35,2809,1.0,1.0,A1045012
51.131924,-113.92459699999999,2017.0,3.0,14.23,1729.22,2702,1.0,1.0,A1040353
,,1976.0,44.0,,1232.38,,0.0,1.0,A1045684
,,1969.0,51.0,,1424.8,,0.0,0.0,A1045887
,,2017.0,3.0,,1167.08,,0.0,1.0,A1045694
,,2020.0,0.0,,2270.16,3940,1.0,1.0,A1045023
,,1997.0,23.0,,1621.11,na,0.0,1.0,A1038775
,,1983.0,37.0,,1642.73,2713,1.0,1.0,A1045621
,,2014.0,6.0,,1513.01,3423,1.0,1.0,A1044853
,,2011.0,9.0,,1660.46,2885,1.0,0.0,A1045727
